"dp","dpnom","dpmp","mpio","Pob_1985","Pob_1993","Pob_2005","Pob_2018"
5,"Antioquia",5001,"Medellín",1384988,1579444,1903732,2281316
5,"Antioquia",5002,"Abejorral",28132,26266,23060,21068
5,"Antioquia",5004,"Abriaquí",2954,3210,2784,2904
5,"Antioquia",5021,"Alejandría",5040,4936,4672,4640
5,"Antioquia",5030,"Amagá",22760,24532,26878,29724
5,"Antioquia",5031,"Amalfi",19130,20832,23074,26056
5,"Antioquia",5034,"Andes",41026,41914,43202,44684
5,"Antioquia",5036,"Angelópolis",6408,6364,5896,5768
5,"Antioquia",5038,"Angostura",13596,13276,12290,11524
5,"Antioquia",5040,"Anorí",12684,14362,16450,19026
5,"Antioquia",5042,"Santafé de Antioquia",19734,21656,23480,26010
5,"Antioquia",5044,"Anzá",6974,7018,6992,7206
5,"Antioquia",5045,"Apartadó",47670,64760,90078,118826
5,"Antioquia",5051,"Arboletes",41988,30714,30226,29352
5,"Antioquia",5055,"Argelia",13116,11634,9766,7916
5,"Antioquia",5059,"Armenia",7714,7078,5958,5122
5,"Antioquia",5079,"Barbosa",31142,35860,42620,51516
5,"Antioquia",5086,"Belmira",5936,6178,6106,6056
5,"Antioquia",5088,"Bello",203856,275704,380130,502678
5,"Antioquia",5091,"Betania",14638,13552,12404,10736
5,"Antioquia",5093,"Betulia",16110,16360,16080,15910
5,"Antioquia",5101,"Ciudad Bolívar",29852,29296,27448,26080
5,"Antioquia",5107,"Briceño",9732,9392,9122,8366
5,"Antioquia",5113,"Buriticá",7528,8152,8920,9708
5,"Antioquia",5120,"Cáceres",20284,22030,26442,30016
5,"Antioquia",5125,"Caicedo",7302,7554,7968,8308
5,"Antioquia",5129,"Caldas",42582,51314,62670,76356
5,"Antioquia",5134,"Campamento",11418,10792,9866,9486
5,"Antioquia",5138,"Cañasgordas",20960,19914,17726,15638
5,"Antioquia",5142,"Caracolí",6700,6156,5370,4632
5,"Antioquia",5145,"Caramanta",8256,7490,6148,4734
5,"Antioquia",5147,"Carepa",14206,22230,35080,47796
5,"Antioquia",5148,"El Carmen de Viboral",31468,38642,47266,58692
5,"Antioquia",5150,"Carolina",3780,3976,3792,3908
5,"Antioquia",5154,"Caucasia",41200,51364,68872,87454
5,"Antioquia",5172,"Chigorodó",24080,32090,43324,55550
5,"Antioquia",5190,"Cisneros",8848,9128,9230,9346
5,"Antioquia",5197,"Cocorná",32678,22964,18814,15172
5,"Antioquia",5206,"Concepción",6488,6094,5470,4936
5,"Antioquia",5209,"Concordia",22608,22294,22054,21372
5,"Antioquia",5212,"Copacabana",40908,49278,60784,75420
5,"Antioquia",5234,"Dabeiba",21676,22128,22158,23288
5,"Antioquia",5237,"Donmatías",11728,12996,15206,17674
5,"Antioquia",5240,"Ebéjico",16740,15660,13806,12340
5,"Antioquia",5250,"El Bagre",20056,27842,39888,51666
5,"Antioquia",5264,"Entrerríos",5720,7264,9234,11174
5,"Antioquia",5266,"Envigado",86912,116364,159332,211056
5,"Antioquia",5282,"Fredonia",24846,24792,24328,24500
5,"Antioquia",5284,"Frontino",27136,26180,23070,20778
5,"Antioquia",5306,"Giraldo",3952,4414,5002,5658
5,"Antioquia",5308,"Girardota",25126,31172,39892,50550
5,"Antioquia",5310,"Gómez Plata",9532,9730,9694,9780
5,"Antioquia",5313,"Granada",19918,17256,13318,10048
5,"Antioquia",5315,"Guadalupe",6790,6852,6756,6668
5,"Antioquia",5318,"Guarne",25594,33118,42970,54616
5,"Antioquia",5321,"Guatapé",4302,5350,6704,8194
5,"Antioquia",5347,"Heliconia",8582,7938,6746,5680
5,"Antioquia",5353,"Hispania",5482,5470,5424,5462
5,"Antioquia",5360,"Itagüí",133842,163706,209198,263616
5,"Antioquia",5361,"Ituango",25166,26320,27236,32986
5,"Antioquia",5364,"Jardín",12732,13224,13628,14462
5,"Antioquia",5368,"Jericó",15466,14828,13966,13526
5,"Antioquia",5376,"La Ceja",28696,37226,49408,62990
5,"Antioquia",5380,"La Estrella",30852,39840,52982,69114
5,"Antioquia",5390,"La Pintada",NA,NA,10048,8144
5,"Antioquia",5400,"La Unión",14732,16326,18420,21266
5,"Antioquia",5411,"Liborina",11822,11646,10910,10320
5,"Antioquia",5425,"Maceo",9808,9304,8742,8192
5,"Antioquia",5440,"Marinilla",33732,41588,51496,63812
5,"Antioquia",5467,"Montebello",9896,9382,8060,6788
5,"Antioquia",5475,"Murindó",1642,2710,3722,4964
5,"Antioquia",5480,"Mutatá",9660,10742,12596,14130
5,"Antioquia",5483,"Nariño",17334,15462,12864,10360
5,"Antioquia",5490,"Necoclí",28864,32812,37364,41684
5,"Antioquia",5495,"Nechí",11894,15316,21090,26402
5,"Antioquia",5501,"Olaya",3358,3446,3314,3158
5,"Antioquia",5541,"Peñol",14650,16318,18048,20560
5,"Antioquia",5543,"Peque",7802,7980,8182,8526
5,"Antioquia",5576,"Pueblorrico",9736,9434,8832,8638
5,"Antioquia",5579,"Puerto Berrío",27370,30052,33868,39466
5,"Antioquia",5585,"Puerto Nare",17636,16514,15238,14430
5,"Antioquia",5591,"Puerto Triunfo",8548,10740,14064,19746
5,"Antioquia",5604,"Remedios",20614,22382,25040,28430
5,"Antioquia",5607,"Retiro",11806,14906,18848,23030
5,"Antioquia",5615,"Rionegro",59898,79094,104664,132696
5,"Antioquia",5628,"Sabanalarga",8224,8412,8748,9432
