"llave","dp","dpnom","dpmp","mpio","ano","poblacion","mpio_narea","ano_creacion"
"5001_1985",5,"Antioquia",5001,"Medellín",1985,1384988,374.83062476,1965
"5001_1993",5,"Antioquia",5001,"Medellín",1993,1579444,374.83062476,1965
"5002_1985",5,"Antioquia",5002,"Abejorral",1985,28132,507.1341142,1814
"5002_1993",5,"Antioquia",5002,"Abejorral",1993,26266,507.1341142,1814
"5004_1985",5,"Antioquia",5004,"Abriaquí",1985,2954,296.95598007,1912
"5004_1993",5,"Antioquia",5004,"Abriaquí",1993,3210,296.95598007,1912
"5021_1985",5,"Antioquia",5021,"Alejandría",1985,5040,128.93215315,1907
"5021_1993",5,"Antioquia",5021,"Alejandría",1993,4936,128.93215315,1907
"5030_1985",5,"Antioquia",5030,"Amagá",1985,22760,84.13247691,1912
"5030_1993",5,"Antioquia",5030,"Amagá",1993,24532,84.13247691,1912
"5031_1985",5,"Antioquia",5031,"Amalfi",1985,19130,1209.12687145,1843
"5031_1993",5,"Antioquia",5031,"Amalfi",1993,20832,1209.12687145,1843
"5034_1985",5,"Antioquia",5034,"Andes",1985,41026,402.50256241,1853
"5034_1993",5,"Antioquia",5034,"Andes",1993,41914,402.50256241,1853
"5036_1985",5,"Antioquia",5036,"Angelópolis",1985,6408,81.87630162,1896
"5036_1993",5,"Antioquia",5036,"Angelópolis",1993,6364,81.87630162,1896
"5038_1985",5,"Antioquia",5038,"Angostura",1985,13596,338.66648207,1821
"5038_1993",5,"Antioquia",5038,"Angostura",1993,13276,338.66648207,1821
"5040_1985",5,"Antioquia",5040,"Anorí",1985,12684,1413.77390426,1821
"5040_1993",5,"Antioquia",5040,"Anorí",1993,14362,1413.77390426,1821
"5042_1985",5,"Antioquia",5042,"Santafé de Antioquia",1985,19734,525.60137455,1541
"5042_1993",5,"Antioquia",5042,"Santafé de Antioquia",1993,21656,525.60137455,1541
"5044_1985",5,"Antioquia",5044,"Anzá",1985,6974,255.9233139,1813
"5044_1993",5,"Antioquia",5044,"Anzá",1993,7018,255.9233139,1813
"5045_1985",5,"Antioquia",5045,"Apartadó",1985,47670,535.17237724,1967
"5045_1993",5,"Antioquia",5045,"Apartadó",1993,64760,535.17237724,1967
"5051_1985",5,"Antioquia",5051,"Arboletes",1985,41988,754.25190197,1958
"5051_1993",5,"Antioquia",5051,"Arboletes",1993,30714,754.25190197,1958
"5055_1985",5,"Antioquia",5055,"Argelia",1985,13116,245.34178234,1960
"5055_1993",5,"Antioquia",5055,"Argelia",1993,11634,245.34178234,1960
"5059_1985",5,"Antioquia",5059,"Armenia",1985,7714,110.43497498,1894
"5059_1993",5,"Antioquia",5059,"Armenia",1993,7078,110.43497498,1894
"5079_1985",5,"Antioquia",5079,"Barbosa",1985,31142,205.66616815,1812
"5079_1993",5,"Antioquia",5079,"Barbosa",1993,35860,205.66616815,1812
"5086_1985",5,"Antioquia",5086,"Belmira",1985,5936,296.15316705,1814
"5086_1993",5,"Antioquia",5086,"Belmira",1993,6178,296.15316705,1814
